"medcode","readcode","Description","CodingSystem","source"
669,"E250000","Nondependent alcohol abuse, unspecified","readcode","ALC095"
2082,"E01y000","Alcohol withdrawal syndrome","readcode","ALC095"
2084,"E23..00","Alcohol dependence syndrome","readcode","ALC095"
4500,"E011000","Korsakov's alcoholic psychosis","readcode","ALC095"
5611,"Eu10.00","[X]Mental and behavioural disorders due to use of alcohol","readcode","ALC095"
5740,"E230.00","Acute alcoholic intoxication in alcoholism","readcode","ALC095"
6169,"E23z.00","Alcohol dependence syndrome NOS","readcode","ALC095"
7746,"E250.00","Nondependent alcohol abuse","readcode","ALC095"
11106,"E011100","Korsakov's alcoholic psychosis with peripheral neuritis","readcode","ALC095"
12353,"Eu10500","[X]Mental & behav dis due to use alcohol: psychotic disorder","readcode","ALC095"
12442,"66e..00","Alcohol disorder monitoring","readcode","ALC095"
12974,"E250200","Nondependent alcohol abuse, episodic","readcode","ALC095"
16225,"E010.00","Alcohol withdrawal delirium","readcode","ALC095"
16237,"E01..00","Alcoholic psychoses","readcode","ALC095"
17266,"63C7.00","Maternal alcohol abuse","readcode","ALC095"
18636,"E011200","Wernicke-Korsakov syndrome","readcode","ALC095"
19494,"136S.00","Hazardous alcohol use","readcode","ALC095"
20514,"Eu10300","[X]Mental and behav dis due to use alcohol: withdrawal state","readcode","ALC095"
20762,"E011.00","Alcohol amnestic syndrome","readcode","ALC095"
21624,"E230200","Episodic acute alcoholic intoxication in alcoholism","readcode","ALC095"
21879,"Eu10100","[X]Mental and behav dis due to use of alcohol: harmful use","readcode","ALC095"
23610,"E250100","Nondependent alcohol abuse, continuous","readcode","ALC095"
24064,"E231100","Continuous chronic alcoholism","readcode","ALC095"
24485,"E231300","Chronic alcoholism in remission","readcode","ALC095"
25110,"E013.00","Alcohol withdrawal hallucinosis","readcode","ALC095"
26106,"E231200","Episodic chronic alcoholism","readcode","ALC095"
28150,"E250z00","Nondependent alcohol abuse NOS","readcode","ALC095"
30404,"E015.00","Alcoholic paranoia","readcode","ALC095"
30695,"136T.00","Harmful alcohol use","readcode","ALC095"
31443,"E231.00","Chronic alcoholism","readcode","ALC095"
31569,"E250300","Nondependent alcohol abuse in remission","readcode","ALC095"
32927,"Eu10800","[X]Alcohol withdrawal-induced seizure","readcode","ALC095"
32964,"66e0.00","Alcohol abuse monitoring","readcode","ALC095"
33635,"E231z00","Chronic alcoholism NOS","readcode","ALC095"
33670,"E01y.00","Other alcoholic psychosis","readcode","ALC095"
36296,"E230z00","Acute alcoholic intoxication in alcoholism NOS","readcode","ALC095"
37946,"E012000","Chronic alcoholic brain syndrome","readcode","ALC095"
39327,"Eu10200","[X]Mental and behav dis due to use alcohol: dependence syndr","readcode","ALC095"
39799,"Eu10600","[X]Mental and behav dis due to use alcohol: amnesic syndrome","readcode","ALC095"
40530,"E230000","Acute alcoholic intoxication, unspecified, in alcoholism","readcode","ALC095"
41920,"E011z00","Alcohol amnestic syndrome NOS","readcode","ALC095"
41983,"Z191.00","Alcohol detoxification","readcode","ALC095"
43193,"E231000","Unspecified chronic alcoholism","readcode","ALC095"
44299,"Eu10000","[X]Mental & behav dis due to use alcohol: acute intoxication","readcode","ALC095"
45169,"Eu10y00","[X]Men & behav dis due to use alcohol: oth men & behav dis","readcode","ALC095"
54505,"E012.00","Other alcoholic dementia","readcode","ALC095"
56947,"E230100","Continuous acute alcoholic intoxication in alcoholism","readcode","ALC095"
57939,"E014.00","Pathological alcohol intoxication","readcode","ALC095"
59574,"E230300","Acute alcoholic intoxication in remission, in alcoholism","readcode","ALC095"
62000,"Eu10700","[X]Men & behav dis due alcoh: resid & late-onset psychot dis","readcode","ALC095"
64101,"Eu10400","[X]Men & behav dis due alcohl: withdrawl state with delirium","readcode","ALC095"
64389,"Eu10z00","[X]Ment & behav dis due use alcohol: unsp ment & behav dis","readcode","ALC095"
67651,"E01z.00","Alcoholic psychosis NOS","readcode","ALC095"
68111,"E01yz00","Other alcoholic psychosis NOS","readcode","ALC095"
605,"R036011","[D]Bulimia NOS","readcode","ANO049"
912,"R030.00","[D]Anorexia","readcode","ANO049"
2135,"E271.00","Anorexia nervosa","readcode","ANO049"
4377,"E275100","Bulimia (non-organic overeating)","readcode","ANO049"
6583,"Eu50211","[X]Bulimia NOS","readcode","ANO049"
8027,"1467.00","H/O: anorexia nervosa","readcode","ANO049"
9581,"Eu50200","[X]Bulimia nervosa","readcode","ANO049"
30570,"Eu50000","[X]Anorexia nervosa","readcode","ANO049"
