prodcode,CodingSystem,productname,gemscriptcode,source
20,prodcode,Temazepam 10mg tablets,68342020,ANX101
35,prodcode,Nitrazepam 5mg tablets,58928020,ANX101
66,prodcode,Zopiclone 7.5mg tablets,72416020,ANX101
563,prodcode,Clomethiazole 192mg capsules,61174020,ANX101
664,prodcode,Lorazepam 4mg/1ml solution for injection ampoules,64057020,ANX101
721,prodcode,Zopiclone 3.75mg tablets,72417020,ANX101
780,prodcode,Temazepam 10mg/5ml oral solution sugar free,68341020,ANX101
921,prodcode,Temazepam 10mg capsules,66877020,ANX101
1088,prodcode,Lorazepam 1mg tablets,58993020,ANX101
1729,prodcode,Temazepam 20mg tablets,68343020,ANX101
1730,prodcode,Trazodone 100mg capsules,67152020,ANX101
2017,prodcode,Zolpidem 5mg tablets,75692020,ANX101
2091,prodcode,Lorazepam 2.5mg tablets,58994020,ANX101
2394,prodcode,Buspar 5mg tablets (IXL Pharma Ltd),68298020,ANX101
2403,prodcode,Temazepam 20mg capsules,66878020,ANX101
2407,prodcode,Nitrazepam 5mg Capsule,65063020,ANX101
2828,prodcode,Meprobamate 400mg tablets,64406020,ANX101
3126,prodcode,Stilnoct 5mg tablets (Sanofi),75696020,ANX101
3205,prodcode,Diazepam 5mg,62418020,ANX101
3320,prodcode,Zimovane 7.5mg tablets (Sanofi),72408020,ANX101
3354,prodcode,Lormetazepam 1mg tablets,64061020,ANX101
3355,prodcode,Trazodone 50mg capsules,67151020,ANX101
3357,prodcode,Lormetazepam 1mg Capsule,64062020,ANX101
3491,prodcode,Heminevrin 192mg capsules (AstraZeneca UK Ltd),49790020,ANX101
3524,prodcode,Mogadon 5mg Capsule (Roche Products Ltd),58776020,ANX101
3574,prodcode,Buspirone 5mg tablets,68294020,ANX101
3686,prodcode,Nitrazepam 10mg Tablet,65066020,ANX101
3687,prodcode,Lormetazepam 500microgram tablets,64060020,ANX101
3741,prodcode,Stilnoct 10mg tablets (Sanofi),75697020,ANX101
3870,prodcode,Diazepam 2mg capsules,62417020,ANX101
4003,prodcode,Molipaxin 150mg tablets (Zentiva),54110020,ANX101
4020,prodcode,Trazodone 150mg tablets,67153020,ANX101
4140,prodcode,Oxazepam 30mg Capsule,65255020,ANX101
4187,prodcode,Zimovane LS 3.75mg tablets (Sanofi),83069020,ANX101
4194,prodcode,Molipaxin 100mg capsules (Zentiva),54109020,ANX101
4338,prodcode,Valium 5mg Tablet (Roche Products Ltd),52130020,ANX101
4874,prodcode,Molipaxin 50mg capsules (Zentiva),54108020,ANX101
5058,prodcode,Zileze 3.75 tablets (Opus Pharmaceuticals Ltd),85821020,ANX101
5306,prodcode,Sonata 10mg capsules (Meda Pharmaceuticals Ltd),86244020,ANX101
5352,prodcode,Zaleplon 10mg capsules,86241020,ANX101
5385,prodcode,Buspirone 10mg tablets,68295020,ANX101
5459,prodcode,Zolpidem 10mg tablets,75693020,ANX101
5916,prodcode,Zaleplon 5mg capsules,86240020,ANX101
6442,prodcode,Trazodone 50mg/5ml oral solution sugar free,67156020,ANX101
7444,prodcode,Ativan 4mg/1ml solution for injection ampoules (Pfizer Ltd),48240020,ANX101
7567,prodcode,Temazepam planpak Capsule (Manufacturer unknown),70449020,ANX101
7569,prodcode,Temazepam 15mg capsules,66879020,ANX101
7786,prodcode,Mogadon 5mg Tablet (ICN Pharmaceuticals France S.A.),50487020,ANX101
7924,prodcode,Nitrazepam 2.5mg/5ml oral suspension,65067020,ANX101
8174,prodcode,Molipaxin 50mg/5ml oral liquid (Sanofi),54779020,ANX101
8721,prodcode,Oxazepam 30mg Tablet,59842020,ANX101
8798,prodcode,Temazepam gelthix 10mg Capsule (Pharmacia Ltd),73176020,ANX101
8913,prodcode,Librium 10mg Capsule (ICN Pharmaceuticals France S.A.),50188020,ANX101
9008,prodcode,Buspar 10mg tablets (IXL Pharma Ltd),68299020,ANX101
9048,prodcode,Librium 5mg Tablet (ICN Pharmaceuticals France S.A.),50189020,ANX101
9111,prodcode,Diazepam 10mg capsules,79693020,ANX101
9598,prodcode,Sonata 5mg capsules (Meda Pharmaceuticals Ltd),86243020,ANX101
9696,prodcode,Alprazolam 250microgram tablets,67486020,ANX101
9814,prodcode,Nitrazepam 5mg/5ml oral suspension,65068020,ANX101
10402,prodcode,Valium 10mg Tablet (Roche Products Ltd),52131020,ANX101
10430,prodcode,Temazepam 30mg capsules,72955020,ANX101
10802,prodcode,Xanax 250microgram tablets (Pfizer Ltd),56351020,ANX101
10954,prodcode,Ativan 1mg Tablet (Wyeth Pharmaceuticals),48244020,ANX101
11486,prodcode,Alprazolam 500microgram tablets,67487020,ANX101
12293,prodcode,Normison 10mg Capsule (Wyeth Pharmaceuticals),50769020,ANX101
12462,prodcode,Temazepam gelthix 20mg Capsule (Pharmacia Ltd),73178020,ANX101
12477,prodcode,Librium 5mg Capsule (ICN Pharmaceuticals France S.A.),50187020,ANX101
12598,prodcode,Xanax 500microgram tablets (Pfizer Ltd),56352020,ANX101
12710,prodcode,Trazodone 150mg modified-release tablets,67157020,ANX101
13279,prodcode,Lorazepam 500micrograms/5ml oral suspension,89956020,ANX101
13621,prodcode,Molipaxin CR 150mg tablets (Aventis Pharma),54780020,ANX101
14365,prodcode,Zopiclone 3.75mg/5ml oral suspension,91009020,ANX101
15110,prodcode,Temazepam 10mg/5ml Oral solution (Generics (UK) Ltd),58226020,ANX101
15492,prodcode,Nitrados 5mg Tablet (Rorer Pharmaceuticals Ltd),50709020,ANX101
15852,prodcode,Zileze 7.5 tablets (Opus Pharmaceuticals Ltd),85822020,ANX101
16169,prodcode,Librium 100mg Injection (Roche Products Ltd),53992020,ANX101
17294,prodcode,Librium 10mg Tablet (ICN Pharmaceuticals France S.A.),50193020,ANX101
17830,prodcode,Ativan 2.5mg Tablet (Wyeth Pharmaceuticals),48245020,ANX101
18291,prodcode,Noctamid 1mg Tablet (Schering Health Care Ltd),50737020,ANX101
19181,prodcode,Trazodone 100mg capsules (Mylan Ltd),62912020,ANX101
19299,prodcode,Valium 5mg Capsule (Roche Products Ltd),52122020,ANX101
19450,prodcode,Mogadon 5mg tablets (Meda Pharmaceuticals Ltd),88270020,ANX101
20164,prodcode,Valium 2mg Capsule (Roche Products Ltd),52121020,ANX101
20245,prodcode,Temazepam 10mg gel-fill capsules,73169020,ANX101
20801,prodcode,Temazepam gelthix 30mg Capsule (Pharmacia Ltd),73180020,ANX101
21437,prodcode,Loramet 1mg Capsule (Wyeth Pharmaceuticals),52944020,ANX101
21454,prodcode,Normison 20mg Capsule (Wyeth Pharmaceuticals),50770020,ANX101
23120,prodcode,Temazepam gelthix 15mg Capsule (Pharmacia Ltd),73177020,ANX101
23874,prodcode,Somnite 2.5mg/5ml oral suspension (Norgine Pharmaceuticals Ltd),51614020,ANX101
24135,prodcode,Zopiclone 7.5mg tablets (Actavis UK Ltd),59209020,ANX101
25273,prodcode,Oxanid 10mg Tablet (M A Steinhard Ltd),65258020,ANX101
27367,prodcode,Temazepam 10mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd),56161020,ANX101
27847,prodcode,Surem 5mg Capsule (Galen Ltd),59025020,ANX101
28703,prodcode,Evacalm 5mg Tablet (Unimed Pharmaceuticals Ltd),59073020,ANX101
28880,prodcode,Buspirone 5mg Tablet (Galen Ltd),59277020,ANX101
29219,prodcode,Zopiclone 3.75mg tablets (Actavis UK Ltd),59210020,ANX101
29339,prodcode,Trazodone 50mg capsules (Mylan Ltd),62911020,ANX101
29441,prodcode,Euhypnos forte 20mg Capsule (Pharmacia Ltd),52633020,ANX101
29857,prodcode,Trazodone 150mg tablets (Teva UK Ltd),62363020,ANX101
29869,prodcode,Zolpidem 5mg Tablet (Winthrop Pharmaceuticals Ltd),63881020,ANX101
30056,prodcode,Zopiclone 3.75mg tablets (IVAX Pharmaceuticals UK Ltd),59236020,ANX101
30321,prodcode,Valium 2mg/5ml Oral solution (Roche Products Ltd),52125020,ANX101
30377,prodcode,Zopiclone 3.75mg tablets (Mylan Ltd),59785020,ANX101
30779,prodcode,Temazepam 20mg Tablet (Wyeth Pharmaceuticals),50701020,ANX101
30981,prodcode,Zolpidem 10mg tablets (A A H Pharmaceuticals Ltd),64738020,ANX101
30983,prodcode,Trazodone 150mg tablets (Mylan Ltd),62913020,ANX101
30985,prodcode,Temazepam 20mg tablets (IVAX Pharmaceuticals UK Ltd),54008020,ANX101
31710,prodcode,Zolpidem 5mg tablets (A A H Pharmaceuticals Ltd),64733020,ANX101
32231,prodcode,Librium 25mg Tablet (ICN Pharmaceuticals France S.A.),50194020,ANX101
32320,prodcode,Temazepam 20mg gel-fill capsules,73171020,ANX101
32847,prodcode,Temazepam 10mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd),51936020,ANX101
33045,prodcode,Zopiclone 7.5mg tablets (IVAX Pharmaceuticals UK Ltd),59237020,ANX101
33070,prodcode,Solis 5mg Capsule (Galen Ltd),59082020,ANX101
33086,prodcode,Lorazepam 1mg tablets (Teva UK Ltd),50645020,ANX101
33648,prodcode,Temazepam 10mg Tablet (Wyeth Pharmaceuticals),50702020,ANX101
33663,prodcode,Zopiclone 7.5mg tablets (Mylan Ltd),59784020,ANX101
33841,prodcode,Zolpidem 10mg tablets (Mylan Ltd),66946020,ANX101
34002,prodcode,Temazepam 10mg tablets (IVAX Pharmaceuticals UK Ltd),54007020,ANX101
