medcode,readcode,description,diabetes_type
6813,1434,H/O: diabetes mellitus,unspecified
16946,13L4.11,Diabetic child,unspecified
7563,66A3.00,Diabetic on diet only,unspecified
1684,66A4.00,Diabetic on oral treatment,unspecified
8842,66A5.00,Diabetic on insulin,unspecified
13071,66AI.00,Diabetic - good control,unspecified
2378,66AJ.00,Diabetic - poor control,unspecified
9013,66AJ.11,Unstable diabetes,unspecified
2478,66AJ100,Brittle diabetes,unspecified
22023,66AJz00,Diabetic - poor control NOS,unspecified
43951,66AK.00,Diabetic - cooperative patient,unspecified
17869,66AL.00,Diabetic-uncooperative patient,unspecified
101728,66As.00,Diabetic on subcutaneous treatment,unspecified
28769,66AV.00,Diabetic on insulin and oral treatment,unspecified
711,C10..00,Diabetes mellitus,unspecified
38986,C100.00,Diabetes mellitus with no mention of complication,unspecified
24490,C100000,"Diabetes mellitus, juvenile type, no mention of complication",Type 1
1038,C100011,Insulin dependent diabetes mellitus,Type 1
14803,C100100,"Diabetes mellitus, adult onset, no mention of complication",Type 2
14889,C100111,Maturity onset diabetes,Type 2
506,C100112,Non-insulin dependent diabetes mellitus,Type 2
50972,C100z00,Diabetes mellitus NOS with no mention of complication,unspecified
1682,C101.00,Diabetes mellitus with ketoacidosis,unspecified
53200,C101000,"Diabetes mellitus, juvenile type, with ketoacidosis",Type 1
54856,C101100,"Diabetes mellitus, adult onset, with ketoacidosis",Type 2
38617,C101y00,Other specified diabetes mellitus with ketoacidosis,other
42505,C101z00,Diabetes mellitus NOS with ketoacidosis,unspecified
21482,C102.00,Diabetes mellitus with hyperosmolar coma,unspecified
40023,C102000,"Diabetes mellitus, juvenile type, with hyperosmolar coma",Type 1
43139,C102100,"Diabetes mellitus, adult onset, with hyperosmolar coma",Type 2
72345,C102z00,Diabetes mellitus NOS with hyperosmolar coma,unspecified
15690,C103.00,Diabetes mellitus with ketoacidotic coma,unspecified
42567,C103000,"Diabetes mellitus, juvenile type, with ketoacidotic coma",Type 1
68843,C103100,"Diabetes mellitus, adult onset, with ketoacidotic coma",Type 2
59288,C103y00,Other specified diabetes mellitus with coma,other
65062,C103z00,Diabetes mellitus NOS with ketoacidotic coma,unspecified
16502,C104.00,Diabetes mellitus with renal manifestation,unspecified
2475,C104.11,Diabetic nephropathy,unspecified
93922,C104000,"Diabetes mellitus, juvenile type, with renal manifestation",Type 1
35105,C104100,"Diabetes mellitus, adult onset, with renal manifestation",Type 2
13279,C104y00,Other specified diabetes mellitus with renal complications,other
35107,C104z00,Diabetes mellitus with nephropathy NOS,unspecified
33254,C105.00,Diabetes mellitus with ophthalmic manifestation,unspecified
69748,C105000,"Diabetes mellitus, juvenile type, + ophthalmic manifestation",Type 1
41389,C105100,"Diabetes mellitus, adult onset, + ophthalmic manifestation",Type 2
47377,C105y00,Other specified diabetes mellitus with ophthalmic complicatn,other
34283,C105z00,Diabetes mellitus NOS with ophthalmic manifestation,unspecified
16230,C106.00,Diabetes mellitus with neurological manifestation,unspecified
59903,C106.11,Diabetic amyotrophy,unspecified
7795,C106.12,Diabetes mellitus with neuropathy,unspecified
16491,C106.13,Diabetes mellitus with polyneuropathy,unspecified
67853,C106000,"Diabetes mellitus, juvenile, + neurological manifestation",Type 1
39317,C106100,"Diabetes mellitus, adult onset, + neurological manifestation",Type 2
61523,C106y00,Other specified diabetes mellitus with neurological comps,other
22573,C106z00,Diabetes mellitus NOS with neurological manifestation,unspecified
35399,C107.00,Diabetes mellitus with peripheral circulatory disorder,unspecified
32403,C107.11,Diabetes mellitus with gangrene,unspecified
32556,C107.12,Diabetes with gangrene,unspecified
70448,C107000,"Diabetes mellitus, juvenile +peripheral circulatory disorder",Type 1
63357,C107100,"Diabetes mellitus, adult, + peripheral circulatory disorder",Type 2
33807,C107200,"Diabetes mellitus, adult with gangrene",Type 2
69124,C107300,IDDM with peripheral circulatory disorder,Type 1
56803,C107400,NIDDM with peripheral circulatory disorder,Type 2
65025,C107z00,Diabetes mellitus NOS with peripheral circulatory disorder,unspecified
1647,C108.00,Insulin dependent diabetes mellitus,Type 1
18505,C108.11,IDDM-Insulin dependent diabetes mellitus,Type 1
17858,C108.12,Type 1 diabetes mellitus,Type 1
24423,C108.13,Type I diabetes mellitus,Type 1
46963,C108000,Insulin-dependent diabetes mellitus with renal complications,Type 1
61344,C108011,Type I diabetes mellitus with renal complications,Type 1
21983,C108012,Type 1 diabetes mellitus with renal complications,Type 1
49276,C108100,Insulin-dependent diabetes mellitus with ophthalmic comps,Type 1
102740,C108112,Type 1 diabetes mellitus with ophthalmic complications,Type 1
52283,C108200,Insulin-dependent diabetes mellitus with neurological comps,Type 1
49146,C108211,Type I diabetes mellitus with neurological complications,Type 1
61829,C108212,Type 1 diabetes mellitus with neurological complications,Type 1
52104,C108300,Insulin dependent diabetes mellitus with multiple complicatn,Type 1
108007,C108311,Type I diabetes mellitus with multiple complications,Type 1
26855,C108400,Unstable insulin dependent diabetes mellitus,Type 1
60107,C108411,Unstable type I diabetes mellitus,Type 1
97474,C108412,Unstable type 1 diabetes mellitus,Type 1
44443,C108500,Insulin dependent diabetes mellitus with ulcer,Type 1
51957,C108511,Type I diabetes mellitus with ulcer,Type 1
68390,C108512,Type 1 diabetes mellitus with ulcer,Type 1
60499,C108600,Insulin dependent diabetes mellitus with gangrene,Type 1
6509,C108700,Insulin dependent diabetes mellitus with retinopathy,Type 1
38161,C108711,Type I diabetes mellitus with retinopathy,Type 1
41049,C108712,Type 1 diabetes mellitus with retinopathy,Type 1
6791,C108800,Insulin dependent diabetes mellitus - poor control,Type 1
46850,C108811,Type I diabetes mellitus - poor control,Type 1
45914,C108812,Type 1 diabetes mellitus - poor control,Type 1
31310,C108900,Insulin dependent diabetes maturity onset,Type 2
63017,C108911,Type I diabetes mellitus maturity onset,Type 1
97446,C108912,Type 1 diabetes mellitus maturity onset,Type 1
56448,C108A00,Insulin-dependent diabetes without complication,Type 1
95992,C108A11,Type I diabetes mellitus without complication,Type 1
24694,C108B00,Insulin dependent diabetes mellitus with mononeuropathy,Type 1
99231,C108B11,Type I diabetes mellitus with mononeuropathy,Type 1
41716,C108C00,Insulin dependent diabetes mellitus with polyneuropathy,Type 1
57621,C108D00,Insulin dependent diabetes mellitus with nephropathy,Type 1
66872,C108D11,Type I diabetes mellitus with nephropathy,Type 1
113197,C108D12,Type 1 diabetes mellitus with nephropathy,Type 1
113197,C108D12,Type 1 diabetes mellitus with nephropathy,Type 1
44440,C108E00,Insulin dependent diabetes mellitus with hypoglycaemic coma,Type 1
42729,C108E11,Type I diabetes mellitus with hypoglycaemic coma,Type 1
70766,C108E12,Type 1 diabetes mellitus with hypoglycaemic coma,Type 1
44260,C108F00,Insulin dependent diabetes mellitus with diabetic cataract,Type 1
17545,C108F11,Type I diabetes mellitus with diabetic cataract,Type 1
65616,C108H00,Insulin dependent diabetes mellitus with arthropathy,Type 1
62352,C108H11,Type I diabetes mellitus with arthropathy,Type 1
60208,C108J11,Type I diabetes mellitus with neuropathic arthropathy,Type 1
18230,C108J12,Type 1 diabetes mellitus with neuropathic arthropathy,Type 1
46290,C108y00,Other specified diabetes mellitus with multiple comps,other
64449,C108z00,Unspecified diabetes mellitus with multiple complications,unspecified
4513,C109.00,Non-insulin dependent diabetes mellitus,Type 2
5884,C109.11,NIDDM - Non-insulin dependent diabetes mellitus,Type 2
17859,C109.12,Type 2 diabetes mellitus,Type 2
18219,C109.13,Type II diabetes mellitus,Type 2
52303,C109000,Non-insulin-dependent diabetes mellitus with renal comps,Type 2
50225,C109011,Type II diabetes mellitus with renal complications,Type 2
18209,C109012,Type 2 diabetes mellitus with renal complications,Type 2
50429,C109100,Non-insulin-dependent diabetes mellitus with ophthalm comps,Type 2
59725,C109111,Type II diabetes mellitus with ophthalmic complications,Type 2
70316,C109112,Type 2 diabetes mellitus with ophthalmic complications,Type 2
55842,C109200,Non-insulin-dependent diabetes mellitus with neuro comps,Type 2
